Area,Locality,Age,Crime ratio,Nitrogen/CO2 percentage,Adult to Children ratio,Earthquake zone,Government projects,Natural calamities,Rental / Monthly commercial income,ROI,Trend of property cost,Reputation of property developer,Current pricing,Scalable property
7664,Coastal Area J,20,0.76,73.25,3.46,Moderate risk zone,Construction of new schools,FALSE,8328.68,63.02,Decreasing,Terrible,206170.03,TRUE
2380,Urban Area H,21,0.52,0.82,1.94,High risk zone,Construction of new schools,TRUE,4342.05,68.82,Decreasing,Terrible,273483.72,TRUE
3562,City A,16,0.69,17.81,5.84,Low risk zone,Renovation of public parks,FALSE,9346.47,14.84,Increasing,Average,205238.6,TRUE
2136,Rural Area G,9,0.42,12.11,6.75,Moderate risk zone,Renovation of public parks,FALSE,8130.9,29.12,Decreasing,Excellent,952590.59,TRUE
6181,City A,22,0.12,55,8.39,High risk zone,Renovation of public parks,FALSE,348.86,43.07,Decreasing,Poor,978040.03,TRUE
3874,Coastal Area J,22,0.59,20.6,3.15,Low risk zone,Renovation of public parks,TRUE,9446.19,94.01,Increasing,Poor,196999.5,TRUE
5319,Town B,38,0.59,91.51,5.93,Low risk zone,Renovation of public parks,FALSE,4291.87,90.4,Decreasing,Good,54693.02,TRUE
7955,Town B,38,0.2,56.84,0.07,Moderate risk zone,Construction of new schools,FALSE,504.87,68.03,Increasing,Terrible,604513.78,FALSE
4330,Rural Area G,31,0.02,35.06,7.54,Low risk zone,Renovation of public parks,FALSE,3830.04,63.81,Decreasing,Average,374919.79,TRUE
6648,Coastal Area J,46,0.55,4.15,8.58,Moderate risk zone,Construction of new schools,TRUE,6411.77,79.7,Decreasing,Excellent,351762.14,FALSE
1994,Rural Area G,3,0.63,18.49,9.2,Moderate risk zone,Renovation of public parks,TRUE,3166.76,27.92,Stable,Terrible,290899.63,TRUE
2166,Coastal Area J,12,0.34,99.03,3.55,Low risk zone,Infrastructure development in rural areas,FALSE,78.33,36.67,Stable,Poor,796734.92,TRUE
1079,Rural Area G,31,0.09,42.5,8.23,Moderate risk zone,Renovation of public parks,TRUE,8444.11,35.02,Increasing,Poor,782071.68,TRUE
9783,Neighborhood F,6,0.09,68.5,1.53,Moderate risk zone,Construction of new schools,TRUE,9236.71,83.5,Increasing,Average,230111.75,FALSE
5614,Hamlet E,36,0.76,96,6.09,Moderate risk zone,Infrastructure development in rural areas,FALSE,7660.42,38.18,Decreasing,Good,338010.06,TRUE
6460,Countryside I,18,0.9,91.99,1.52,Low risk zone,Expansion of public transportation system,TRUE,8525.32,24.44,Stable,Terrible,305924.92,TRUE
2555,Countryside I,31,0.35,3.38,5.12,Moderate risk zone,Construction of new schools,TRUE,8123.52,63.51,Stable,Poor,501352.89,TRUE
9047,Village C,20,0.95,44.19,6.34,High risk zone,Expansion of public transportation system,TRUE,7762.88,91.84,Stable,Good,896456.82,FALSE
7587,Village C,12,0.31,46.99,1.19,Moderate risk zone,Infrastructure development in rural areas,TRUE,8946.96,15.1,Decreasing,Poor,118090.91,FALSE
3588,Town B,18,0.45,60.16,8.28,High risk zone,Construction of new schools,TRUE,310.02,49.92,Increasing,Average,630844.47,TRUE
4243,Neighborhood F,21,0.95,77.61,6.69,Moderate risk zone,Expansion of public transportation system,TRUE,9874.3,93.98,Increasing,Good,476734.47,FALSE
4855,Coastal Area J,4,0.27,98.38,3.49,High risk zone,Infrastructure development in rural areas,FALSE,1829.8,63.54,Decreasing,Poor,628358.61,FALSE
3758,City A,29,0.5,30.1,9.39,Moderate risk zone,Expansion of public transportation system,FALSE,3860.84,68.45,Stable,Average,870233.23,FALSE
6553,Village C,5,0.35,68.89,5.51,Low risk zone,Construction of new schools,FALSE,4436.37,64.72,Decreasing,Good,936983.14,FALSE
5827,Coastal Area J,33,0.11,35.49,6.57,High risk zone,Renovation of public parks,FALSE,1387.01,13.47,Stable,Good,548533.71,FALSE
1383,Hamlet E,36,0.4,50.07,3.51,High risk zone,Renovation of public parks,TRUE,1290.59,72.49,Decreasing,Excellent,736249.22,FALSE
3617,Suburb D,28,0.5,96.58,3.08,Low risk zone,Construction of new schools,FALSE,6483.7,49.9,Increasing,Good,960754.9,FALSE
6437,Coastal Area J,12,0.21,8.28,6.57,High risk zone,Construction of new schools,FALSE,8351.3,48.5,Increasing,Good,590713.72,TRUE
8707,Suburb D,31,0.33,80.1,9.64,Moderate risk zone,Expansion of public transportation system,FALSE,7706.16,79.84,Decreasing,Excellent,584806.58,FALSE
8513,Countryside I,9,0.36,41.93,1.69,High risk zone,Infrastructure development in rural areas,FALSE,6643.33,94.93,Increasing,Poor,375677.38,FALSE
2104,Urban Area H,22,0.56,64.77,8.07,High risk zone,Construction of new schools,TRUE,4817.64,71.99,Increasing,Good,642599.32,TRUE
5510,Town B,42,0.67,88.94,8.41,High risk zone,Infrastructure development in rural areas,FALSE,5784.56,65.24,Stable,Excellent,484798.88,TRUE
9907,Coastal Area J,17,0.14,50.52,7.06,Low risk zone,Construction of new schools,TRUE,113.19,1.18,Stable,Terrible,279903,TRUE
7737,Neighborhood F,50,0.69,34.56,8.36,Moderate risk zone,Renovation of public parks,TRUE,3822.15,56.31,Stable,Average,719537.06,TRUE
6684,Countryside I,37,0.42,47.77,5.08,Low risk zone,Renovation of public parks,TRUE,389.67,95.73,Increasing,Poor,997582.26,FALSE
1081,Hamlet E,48,0.82,60.18,2.71,Low risk zone,Construction of new schools,TRUE,1540.62,15.21,Stable,Poor,165234.31,FALSE
5888,Village C,28,0.03,42.29,5.9,Low risk zone,Expansion of public transportation system,FALSE,831.97,93.07,Decreasing,Poor,895160.35,FALSE
7928,Suburb D,30,0.44,5.12,1.92,Moderate risk zone,Renovation of public parks,TRUE,7888.47,48.22,Decreasing,Poor,165610.47,TRUE
3055,Village C,16,0.2,15.53,8.86,Low risk zone,Construction of new schools,FALSE,4201.77,32.7,Stable,Excellent,745356.04,FALSE
1505,City A,3,0.35,87.51,4.78,Low risk zone,Construction of new schools,FALSE,4868.26,20.85,Increasing,Terrible,319508.83,FALSE
6532,Countryside I,32,0.71,73.68,0.06,High risk zone,Expansion of public transportation system,TRUE,1843.1,14.41,Stable,Good,736172.38,TRUE
3258,Urban Area H,16,0.22,16.36,2.13,Moderate risk zone,Renovation of public parks,FALSE,6797.18,70.22,Increasing,Terrible,303023.33,TRUE
4098,Neighborhood F,32,0.98,70.23,0.22,Moderate risk zone,Renovation of public parks,TRUE,3578.28,75.38,Increasing,Terrible,671648.4,TRUE
2370,Rural Area G,7,0,10.7,4.14,High risk zone,Renovation of public parks,FALSE,4656.02,42.14,Increasing,Good,678837.24,FALSE
8333,Suburb D,23,0.69,24.55,1.54,Low risk zone,Construction of new schools,TRUE,2831.43,26.8,Increasing,Excellent,814769.25,FALSE
7022,Hamlet E,25,0.4,33.49,7.28,High risk zone,Expansion of public transportation system,FALSE,6105.74,61.67,Increasing,Terrible,196307.9,FALSE
4030,Town B,42,0.03,68.53,2.89,High risk zone,Infrastructure development in rural areas,TRUE,3992.31,31.95,Stable,Good,522933.54,TRUE
2183,Suburb D,50,0.61,20.38,8.3,Low risk zone,Expansion of public transportation system,FALSE,5221.04,97.27,Increasing,Terrible,222483.7,TRUE
7658,Neighborhood F,2,0.88,45.43,0.56,High risk zone,Infrastructure development in rural areas,TRUE,1673.63,9.47,Increasing,Excellent,642276.13,FALSE
6944,Suburb D,37,0.5,32.25,2.07,High risk zone,Expansion of public transportation system,TRUE,2168.99,65.12,Decreasing,Average,368870.75,TRUE
2002,City A,3,0.63,96.92,3.17,Moderate risk zone,Construction of new schools,FALSE,5926.33,36.51,Increasing,Good,38779.29,TRUE
2137,Rural Area G,24,0.14,71.17,7.25,Moderate risk zone,Renovation of public parks,TRUE,5482.59,9.26,Stable,Terrible,876314.53,FALSE
1260,Town B,24,0.85,82.92,8.63,Moderate risk zone,Construction of new schools,TRUE,1426.29,16.25,Increasing,Excellent,602346.41,TRUE
9499,Hamlet E,17,0.48,58.2,6.37,High risk zone,Expansion of public transportation system,TRUE,456.66,81.8,Stable,Terrible,777869.37,FALSE
3768,Hamlet E,37,0.54,58.27,0.46,Low risk zone,Construction of new schools,FALSE,3878.33,59.26,Decreasing,Excellent,606428.22,FALSE
5808,Neighborhood F,13,0.29,16.41,5.88,Moderate risk zone,Renovation of public parks,FALSE,7686.57,36.44,Decreasing,Poor,621132.19,TRUE
5634,Coastal Area J,20,0.49,61.56,4.46,Moderate risk zone,Expansion of public transportation system,TRUE,6453.76,24.97,Decreasing,Terrible,55615.76,FALSE
7107,Town B,30,0.04,39.02,4.87,Low risk zone,Construction of new schools,FALSE,755.4,35.63,Decreasing,Average,567876.99,FALSE
